,"NC_001512.1_O'nyong-nyong_virus,_complete_genom)","AY278741.1_SARS_coronavirus_Urbani,_complete_genom)","NC_006577.2_Human_coronavirus_HKU1,_complete_genom)","AY283794.1_SARS_coronavirus_Sin2500,_complete_genom)","NC_001846.1_Mouse_hepatitis_virus_strain_MHV-A59_C12_mutant,_complete_genom)","AY572035.1_SARS_coronavirus_civet010,_complete_genom)","AF208066.1_Murine_hepatitis_virus_strain_Penn_97-1,_complete_genom)","AY283798.2_SARS_coronavirus_Sin2774,_complete_genom)","AY282752.2_SARS_coronavirus_CUHK-Su10,_complete_genom)","U00735.2_Bovine_coronavirus_strain_Mebus,_complete_genom)","AY278491.2_SARS_coronavirus_HKU-39849,_complete_genom)","NC_004102.1_Hepatitis_C_virus_genotype_1,_complete_genom)","NC_001564.2_Cell_fusing_agent_virus_strain_Galveston,_complete_genom)","AY291451.1_SARS_coronavirus_TW1,_complete_genom)","NC_001451.1_Avian_infectious_bronchitis_virus,_complete_genom)","AY283797.1_SARS_coronavirus_Sin2748,_complete_genom)","AF304460.1_Human_coronavirus_229E,_complete_genom)","AY297028.1_SARS_coronavirus_ZJ01,_complete_genom)","AY278488.2_SARS_coronavirus_BJ01,_complete_genom)","NC_005831.2_Human_Coronavirus_NL63,_complete_genom)","NC_003045.1_Bovine_coronavirus,_complete_genom)","AF391542.1_Bovine_coronavirus_isolate_BCoV-LUN,_complete_genom)","AY391777.1_Human_coronavirus_OC43,_complete_genom)","AF208067.1_Murine_hepatitis_virus_strain_ML-10,_complete_genom)","AY572034.1_SARS_coronavirus_civet007,_complete_genom)","AY283795.1_SARS_coronavirus_Sin2677,_complete_genom)","NC_001544.1_Ross_River_virus,_complete_genom)","AY278554.2_SARS_coronavirus_CUHK-W1,_complete_genom)","EU095850.1_Turkey_coronavirus_isolate_MG10,_complete_genom)","AF220295.1_Bovine_coronavirus_strain_Quebec,_complete_genom)","NC_004718.3_SARS_coronavirus,_complete_genom)","AF353511.1_Porcine_epidemic_diarrhea_virus_strain_CV777,_complete_genom)","AY283796.1_SARS_coronavirus_Sin2679,_complete_genom)"
"AY278741.1_SARS_coronavirus_Urbani,_complete_genom)",0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NC_006577.2_Human_coronavirus_HKU1,_complete_genom)",0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AY283794.1_SARS_coronavirus_Sin2500,_complete_genom)",0.92,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NC_001846.1_Mouse_hepatitis_virus_strain_MHV-A59_C12_mutant,_complete_genom)",0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AY572035.1_SARS_coronavirus_civet010,_complete_genom)",0.92,0.0,0.92,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AF208066.1_Murine_hepatitis_virus_strain_Penn_97-1,_complete_genom)",0.92,0.92,0.78,0.92,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AY283798.2_SARS_coronavirus_Sin2774,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,
"AY282752.2_SARS_coronavirus_CUHK-Su10,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"U00735.2_Bovine_coronavirus_strain_Mebus,_complete_genom)",0.92,0.92,0.88,0.92,0.84,0.92,0.84,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,
"AY278491.2_SARS_coronavirus_HKU-39849,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,
"NC_004102.1_Hepatitis_C_virus_genotype_1,_complete_genom)",0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,
"NC_001564.2_Cell_fusing_agent_virus_strain_Galveston,_complete_genom)",0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,,,,,,
"AY291451.1_SARS_coronavirus_TW1,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.0,0.92,0.92,,,,,,,,,,,,,,,,,,,,
"NC_001451.1_Avian_infectious_bronchitis_virus,_complete_genom)",0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,,,,
"AY283797.1_SARS_coronavirus_Sin2748,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.0,0.92,0.92,0.0,0.92,,,,,,,,,,,,,,,,,,
"AF304460.1_Human_coronavirus_229E,_complete_genom)",0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,,
"AY297028.1_SARS_coronavirus_ZJ01,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.0,0.92,0.92,0.0,0.92,0.0,0.92,,,,,,,,,,,,,,,,
"AY278488.2_SARS_coronavirus_BJ01,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.0,0.92,0.92,0.0,0.92,0.0,0.92,0.0,,,,,,,,,,,,,,,
"NC_005831.2_Human_Coronavirus_NL63,_complete_genom)",0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
"NC_003045.1_Bovine_coronavirus,_complete_genom)",0.92,0.92,0.92,0.92,0.84,0.92,0.84,0.92,0.92,0.0,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,
"AF391542.1_Bovine_coronavirus_isolate_BCoV-LUN,_complete_genom)",0.92,0.92,0.92,0.92,0.84,0.92,0.84,0.92,0.92,0.0,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.0,,,,,,,,,,,,
"AY391777.1_Human_coronavirus_OC43,_complete_genom)",0.92,0.92,0.76,0.92,0.72,0.92,0.72,0.92,0.92,0.0,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.0,0.0,,,,,,,,,,,
"AF208067.1_Murine_hepatitis_virus_strain_ML-10,_complete_genom)",0.92,0.92,0.88,0.92,0.0,0.92,0.0,0.92,0.92,0.84,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.84,0.84,0.6,,,,,,,,,,
"AY572034.1_SARS_coronavirus_civet007,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.0,0.92,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.92,0.92,0.92,0.92,,,,,,,,,
"AY283795.1_SARS_coronavirus_Sin2677,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.0,0.92,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.92,0.92,0.92,0.92,0.0,,,,,,,,
"NC_001544.1_Ross_River_virus,_complete_genom)",0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,
"AY278554.2_SARS_coronavirus_CUHK-W1,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.0,0.92,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.92,0.92,0.92,0.92,0.0,0.0,0.92,,,,,,
"EU095850.1_Turkey_coronavirus_isolate_MG10,_complete_genom)",0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.14,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,
"AF220295.1_Bovine_coronavirus_strain_Quebec,_complete_genom)",0.92,0.92,0.88,0.92,0.84,0.92,0.84,0.92,0.92,0.0,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.0,0.0,0.0,0.76,0.92,0.92,0.92,0.92,0.92,,,,
"NC_004718.3_SARS_coronavirus,_complete_genom)",0.92,0.0,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.0,0.92,0.92,0.0,0.92,0.0,0.92,0.0,0.0,0.92,0.92,0.92,0.92,0.92,0.0,0.0,0.92,0.0,0.92,0.92,,,
